| Nesquik                       | adfghilpqrst | 14:51:38       | 14:54:46         | 00:03:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 11:28:57       | 11:47:24         | 00:18:29             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 11:41:59       | 11:47:24         | 00:05:47             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 11:47:32       | 11:48:44         | 00:01:15             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 11:48:54       | 11:51:05         | 00:02:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 11:47:31       | 11:56:47         | 00:09:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 11:51:08       | 12:18:20         | 00:27:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 12:18:28       | 12:33:15         | 00:14:49             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 14:14:48       | 14:21:55         | 00:07:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklpqrst | 17:34:41       | 17:53:54         | 00:19:26             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 19:31:38       | 19:34:11         | 00:02:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 19:34:18       | 19:36:02         | 00:01:46             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 02.02.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklpqrst | 13:46:27       | 14:01:14         | 00:14:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 17:27:44         | 00:01:11             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 17:27:49       | 17:35:41         | 00:07:55             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 19:13:26       | 19:14:42         | 00:01:35             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 20:43:17       | 20:47:23         | 00:04:09             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 20:47:28       | 20:51:00         | 00:03:33             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 22:21:02       | 22:21:32         | 00:00:33             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 22:53:23       | 22:54:12         | 00:00:57             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 03.02.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 07:47:12       | 07:48:12         | 00:01:09             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 10:34:25       | 10:44:40         | 00:10:34             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 10:44:22       | 10:44:40         | 00:00:22             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 10:44:45       | 10:46:00         | 00:01:17             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 10:46:11       | 10:53:35         | 00:07:25             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 10:44:48       | 11:14:05         | 00:29:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 11:14:13       | 11:20:56         | 00:06:44             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 11:21:03       | 12:06:53         | 00:45:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 12:07:02       | 12:08:04         | 00:01:05             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 12:10:02       | 12:47:15         | 00:37:15             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 13:33:37       | 13:38:16         | 00:05:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 15:29:09       | 15:45:21         | 00:16:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 19:20:07       | 19:20:52         | 00:00:55             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 19:20:56       | 19:22:27         | 00:01:32             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 19:26:51       | 19:37:00         | 00:10:30             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 19:36:36       | 19:37:00         | 00:00:33             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 19:37:05       | 19:50:17         | 00:13:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 19:37:06       | 19:52:57         | 00:15:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 20:49:53       | 20:50:41         | 00:01:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 20:59:36       | 21:13:55         | 00:14:21             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 21:28:19       | 21:52:58         | 00:25:00             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 04.02.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 11:10:54       | 11:36:38         | 00:26:00             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 11:31:21       | 11:44:20         | 00:13:00             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 11:36:57       | 11:57:52         | 00:21:11             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| SetwerG                       | adgiklprst | 12:43:26       | 12:48:55         | 00:05:44             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 14:29:29       | 14:30:22         | 00:00:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 14:30:26       | 14:41:55         | 00:11:30             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 14:30:26       | 15:01:06         | 00:19:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 15:27:05       | 15:34:10         | 00:07:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 15:35:57       | 15:38:15         | 00:02:30             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 15:39:06       | 16:04:07         | 00:24:59             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 18:35:32       | 18:57:20         | 00:22:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 18:57:30       | 19:03:38         | 00:06:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 19:14:18       | 19:39:35         | 00:25:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| SetwerG                       | adgiklprst | 19:58:23       | 19:59:21         | 00:01:20             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 20:37:09       | 21:11:37         | 00:34:42             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 21:11:47       | 21:12:58         | 00:01:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 21:16:38       | 21:49:01         | 00:32:26             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 21:49:12       | 21:50:02         | 00:00:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 21:50:08       | 22:05:31         | 00:15:26             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 05.02.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 11:41:52       | 11:51:15         | 00:09:29             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | diqrst | 11:52:54       | 11:59:58         | 00:07:12             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 13:32:04         | 00:28:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 13:34:59         | 00:02:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 14:25:37       | 15:03:28         | 00:37:58             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 15:26:10       | 15:28:42         | 00:02:42             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 15:40:57       | 15:47:05         | 00:06:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 15:44:05       | 16:08:30         | 00:24:34             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 16:08:42       | 16:11:24         | 00:02:46             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 16:32:02       | 16:54:48         | 00:22:55             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 17:17:59       | 17:20:03         | 00:02:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 17:32:35       | 17:41:54         | 00:09:21             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 16:54:56       | 17:41:54         | 00:47:01             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 17:42:02       | 17:55:27         | 00:13:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 18:19:25       | 18:24:44         | 00:05:26             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 17:42:10       | 18:24:44         | 00:42:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 18:24:49       | 18:28:35         | 00:03:48             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 18:24:52       | 18:51:35         | 00:26:46             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 18:51:40       | 18:52:35         | 00:00:58             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 18:53:00       | 19:23:25         | 00:30:28             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 19:15:00       | 19:27:05         | 00:12:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 19:23:29       | 20:09:48         | 00:46:22             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 20:09:57       | 21:15:48         | 01:05:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 21:15:59       | 21:16:49         | 00:00:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 21:16:56       | 22:06:38         | 00:49:45             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 22:07:02       | 22:08:43         | 00:01:58             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 23:02:56       | 23:06:21         | 00:03:28             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 06.02.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 09:51:08       | 10:19:02         | 00:28:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 10:19:10       | 10:46:55         | 00:27:48             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 10:34:08       | 10:50:37         | 00:16:46             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 11:05:29       | 11:05:30         | 00:00:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 11:11:42       | 11:11:44         | 00:00:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 10:58:50       | 11:14:24         | 00:15:37             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklpqrst | 11:03:50       | 11:14:24         | 00:10:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklpqrst | 11:14:34       | 11:15:25         | 00:00:55             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 11:15:05       | 11:19:27         | 00:04:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 11:23:58       | 11:23:59         | 00:00:05             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 11:14:30       | 11:28:35         | 00:14:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklpqrst | 11:15:31       | 11:31:44         | 00:16:16             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 11:39:05       | 11:42:54         | 00:03:49             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 11:42:59       | 11:47:11         | 00:04:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 11:53:21       | 11:54:15         | 00:01:05             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 12:23:18       | 12:23:29         | 00:00:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 12:28:21       | 12:28:22         | 00:00:09             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 13:09:20       | 13:10:36         | 00:01:46             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 13:31:36       | 13:42:54         | 00:11:22             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 13:43:06       | 13:55:07         | 00:12:02             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 14:16:12       | 14:29:31         | 00:13:22             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 15:09:50       | 15:15:13         | 00:05:44             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 14:37:12       | 15:15:13         | 00:38:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 15:15:27       | 15:42:49         | 00:27:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 15:15:20       | 15:44:54         | 00:29:35             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 15:53:26       | 15:53:27         | 00:00:11             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 15:55:18       | 15:55:25         | 00:00:18             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 16:22:46       | 16:31:27         | 00:08:45             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 17:32:32       | 17:38:10         | 00:05:45             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklpqrst | 17:34:41       | 17:38:10         | 00:03:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| МиХаЛыЧ4658                       | abdfghiklpqrst | 17:38:21       | 17:44:35         | 00:06:18             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 17:42:46       | 17:47:04         | 00:04:37             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 17:38:17       | 17:51:20         | 00:13:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 18:02:23       | 18:03:04         | 00:00:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 18:41:41       | 18:48:59         | 00:07:20             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 18:42:32       | 18:48:59         | 00:06:30             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 18:49:05       | 18:49:05         | 00:00:02             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 18:49:06       | 19:13:44         | 00:24:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 19:29:21       | 19:43:09         | 00:13:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 23:25:58       | 23:28:33         | 00:02:37             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 07.02.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 04:56:54       | 05:08:28         | 00:11:40             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 09:34:31       | 09:36:13         | 00:01:47             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 09:36:20       | 09:39:04         | 00:02:46             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| [RS]chaman_fokucnik_tuz}@                       | adgiklprst | 10:10:40       | 10:12:21         | 00:01:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 14:46:35       | 15:05:45         | 00:19:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 18:57:37       | 19:00:14         | 00:02:40             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 20:55:51       | 20:56:39         | 00:00:50             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 08.02.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 10:58:39       | 10:58:40         | 00:00:17             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 11:13:53       | 11:13:54         | 00:00:05             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 11:13:53       | 11:27:30         | 00:11:23             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 11:43:10       | 11:53:03         | 00:09:55             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 13:50:11         | 00:05:45             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 17:54:13       | 17:55:30         | 00:01:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 18:06:15       | 18:06:16         | 00:00:15             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 17:55:35       | 18:12:29         | 00:16:55             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 19:24:28       | 19:39:15         | 00:14:49             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 19:56:43       | 20:09:38         | 00:12:58             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 20:13:31       | 20:15:30         | 00:02:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 22:52:54         | 00:01:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 22:52:55       | 23:10:37         | 00:17:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 09.02.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 13:23:49       | 13:27:57         | 00:04:26             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 14:46:22       | 15:00:11         | 00:13:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 17:24:55       | 17:25:09         | 00:00:20             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 19:04:35       | 19:05:32         | 00:01:00             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 19:06:00       | 19:11:37         | 00:05:50             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 19:20:55       | 19:21:28         | 00:00:36             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 19:22:14       | 19:22:15         | 00:00:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 19:26:49       | 19:26:49         | 00:00:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 19:26:10       | 19:53:36         | 00:27:26             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 19:26:54       | 19:53:48         | 00:26:55             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 19:56:56       | 19:58:23         | 00:01:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 20:42:48       | 20:50:54         | 00:08:08             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 21:16:59       | 21:17:00         | 00:00:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 10.02.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 10:00:57       | 10:00:58         | 00:00:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| {PaCCa} Данька                       | adgiklprst | 10:56:40       | 11:06:57         | 00:10:30             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 13:04:32       | 13:06:20         | 00:01:50             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 13:52:46       | 14:04:48         | 00:12:05             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 14:38:18       | 14:52:36         | 00:14:21             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 14:59:28       | 15:07:47         | 00:08:24             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 15:47:38       | 15:54:09         | 00:06:31             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 15:54:14       | 15:59:39         | 00:05:28             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 16:22:11         | 00:13:18             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 21:36:24       | 21:36:25         | 00:00:11             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 22:28:55       | 22:54:55         | 00:26:02             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 11.02.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 11:32:00       | 11:34:17         | 00:02:22             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Dimon22834                       | adfghilpqrst | 12:22:20       | 12:22:21         | 00:00:09             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| A                       | adgiklprst | 14:25:56       | 14:43:59         | 00:18:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 16:30:08         | 00:02:12             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 16:30:13       | 16:35:55         | 00:05:44             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 18:45:56       | 18:59:57         | 00:14:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 20:52:31       | 21:07:52         | 00:15:24             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
